Distance Between Stations (km),Weather Conditions,Day of the Week,Time of Day,Train Type,Historical Delay (min),Route Congestion
0,Rainy,Sunday,Afternoon,Express,69,High
40,Foggy,Monday,Evening,Superfast,76,Low
20,Clear,Tuesday,Night,Local,83,Medium
10,Rainy,Wednesday,Morning,Express,90,High
50,Foggy,Thursday,Afternoon,Superfast,97,Low
30,Clear,Friday,Evening,Local,4,Medium
0,Rainy,Saturday,Night,Express,11,High
40,Foggy,Sunday,Morning,Superfast,18,Low
20,Clear,Monday,Afternoon,Local,25,Medium
10,Rainy,Tuesday,Evening,Express,32,High
50,Foggy,Wednesday,Night,Superfast,39,Low
30,Clear,Thursday,Morning,Local,46,Medium
0,Rainy,Friday,Afternoon,Express,53,High
40,Foggy,Saturday,Evening,Superfast,60,Low
20,Clear,Sunday,Night,Local,67,Medium
10,Rainy,Monday,Morning,Express,74,High
50,Foggy,Tuesday,Afternoon,Superfast,81,Low
30,Clear,Wednesday,Evening,Local,88,Medium
0,Rainy,Thursday,Night,Express,95,High
70,Clear,Friday,Morning,Local,3,Medium
40,Rainy,Saturday,Afternoon,Express,10,High
80,Foggy,Sunday,Evening,Superfast,17,Low
60,Clear,Monday,Night,Local,24,Medium
30,Rainy,Tuesday,Morning,Express,31,High
70,Foggy,Wednesday,Afternoon,Superfast,38,Low
50,Clear,Thursday,Evening,Local,45,Medium
20,Rainy,Friday,Night,Express,52,High
60,Foggy,Saturday,Morning,Superfast,59,Low
40,Clear,Sunday,Afternoon,Local,66,Medium
10,Rainy,Monday,Evening,Express,73,High
50,Foggy,Tuesday,Night,Superfast,80,Low
30,Clear,Wednesday,Morning,Local,87,Medium
0,Rainy,Thursday,Afternoon,Express,94,High
40,Foggy,Friday,Evening,Superfast,1,Low
20,Clear,Saturday,Night,Local,8,Medium
10,Rainy,Sunday,Morning,Express,15,High
50,Foggy,Monday,Afternoon,Superfast,22,Low
30,Clear,Tuesday,Evening,Local,29,Medium
0,Rainy,Wednesday,Night,Express,36,High
40,Foggy,Thursday,Morning,Superfast,43,Low
20,Clear,Friday,Afternoon,Local,50,Medium
10,Rainy,Saturday,Evening,Express,57,High
50,Foggy,Sunday,Night,Superfast,64,Low
30,Clear,Monday,Morning,Local,71,Medium
0,Rainy,Tuesday,Afternoon,Express,78,High
40,Foggy,Wednesday,Evening,Superfast,85,Low
20,Clear,Thursday,Night,Local,92,Medium
10,Rainy,Friday,Morning,Express,99,High
50,Foggy,Saturday,Afternoon,Superfast,6,Low
30,Clear,Sunday,Evening,Local,13,Medium
0,Rainy,Monday,Night,Express,20,High
40,Foggy,Tuesday,Morning,Superfast,27,Low
20,Clear,Wednesday,Afternoon,Local,34,Medium
10,Rainy,Thursday,Evening,Express,41,High
50,Foggy,Friday,Night,Superfast,48,Low
30,Clear,Saturday,Morning,Local,55,Medium
0,Rainy,Sunday,Afternoon,Express,62,High
40,Foggy,Monday,Evening,Superfast,69,Low
20,Clear,Tuesday,Night,Local,76,Medium
10,Rainy,Wednesday,Morning,Express,83,High
50,Foggy,Thursday,Afternoon,Superfast,90,Low
30,Clear,Friday,Evening,Local,97,Medium
0,Rainy,Saturday,Night,Express,4,High
40,Foggy,Sunday,Morning,Superfast,11,Low
20,Clear,Monday,Afternoon,Local,18,Medium
10,Rainy,Tuesday,Evening,Express,25,High
50,Foggy,Wednesday,Night,Superfast,32,Low
30,Clear,Thursday,Morning,Local,39,Medium
0,Rainy,Friday,Afternoon,Express,46,High
40,Foggy,Saturday,Evening,Superfast,53,Low
20,Clear,Sunday,Night,Local,60,Medium
10,Rainy,Monday,Morning,Express,67,High
50,Foggy,Tuesday,Afternoon,Superfast,74,Low
30,Clear,Wednesday,Evening,Local,81,Medium
0,Rainy,Thursday,Night,Express,88,High
40,Foggy,Friday,Morning,Superfast,95,Low
20,Clear,Saturday,Afternoon,Local,2,Medium
10,Rainy,Sunday,Evening,Express,9,High
50,Foggy,Monday,Night,Superfast,16,Low
30,Clear,Tuesday,Morning,Local,23,Medium
0,Rainy,Wednesday,Afternoon,Express,30,High
40,Foggy,Thursday,Evening,Superfast,37,Low
20,Clear,Friday,Night,Local,44,Medium
10,Rainy,Saturday,Morning,Express,51,High
50,Foggy,Sunday,Afternoon,Superfast,58,Low
30,Clear,Monday,Evening,Local,65,Medium
0,Rainy,Tuesday,Night,Express,72,High
60,Clear,Tuesday,Afternoon,Local,8,Medium
40,Rainy,Wednesday,Evening,Express,15,High
80,Foggy,Thursday,Night,Superfast,22,Low
70,Clear,Friday,Morning,Local,29,Medium
30,Rainy,Saturday,Afternoon,Express,36,High
60,Foggy,Sunday,Evening,Superfast,43,Low
50,Clear,Monday,Night,Local,50,Medium
20,Rainy,Tuesday,Morning,Express,57,High
70,Foggy,Wednesday,Afternoon,Superfast,64,Low
50,Clear,Thursday,Evening,Local,71,Medium
30,Rainy,Friday,Night,Express,78,High
60,Foggy,Saturday,Morning,Superfast,85,Low
40,Clear,Sunday,Afternoon,Local,92,Medium
10,Rainy,Monday,Evening,Express,99,High
50,Foggy,Tuesday,Night,Superfast,6,Low
30,Clear,Wednesday,Morning,Local,13,Medium
40,Rainy,Thursday,Afternoon,Express,20,High
60,Foggy,Friday,Evening,Superfast,27,Low
50,Clear,Saturday,Night,Local,34,Medium
20,Rainy,Sunday,Morning,Express,41,High
70,Foggy,Monday,Afternoon,Superfast,48,Low
60,Clear,Tuesday,Evening,Local,55,Medium
30,Rainy,Wednesday,Night,Express,62,High
50,Foggy,Thursday,Morning,Superfast,69,Low
40,Clear,Friday,Afternoon,Local,76,Medium
10,Rainy,Saturday,Evening,Express,83,High
70,Foggy,Sunday,Night,Superfast,90,Low
60,Clear,Monday,Morning,Local,97,Medium
30,Rainy,Tuesday,Afternoon,Express,4,High
50,Foggy,Wednesday,Evening,Superfast,11,Low
40,Clear,Thursday,Night,Local,18,Medium
20,Rainy,Friday,Morning,Express,25,High
70,Foggy,Saturday,Afternoon,Superfast,32,Low
60,Clear,Sunday,Evening,Local,39,Medium
30,Rainy,Monday,Night,Express,46,High
50,Foggy,Tuesday,Morning,Superfast,53,Low
40,Clear,Wednesday,Afternoon,Local,60,Medium
10,Rainy,Thursday,Evening,Express,67,High
70,Foggy,Friday,Night,Superfast,74,Low
60,Clear,Saturday,Morning,Local,81,Medium
30,Rainy,Sunday,Afternoon,Express,88,High
50,Foggy,Monday,Evening,Superfast,95,Low
40,Clear,Tuesday,Night,Local,2,Medium
20,Rainy,Wednesday,Morning,Express,9,High
70,Foggy,Thursday,Afternoon,Superfast,16,Low
60,Clear,Friday,Evening,Local,23,Medium
30,Rainy,Saturday,Night,Express,30,High
50,Foggy,Sunday,Morning,Superfast,37,Low
40,Clear,Monday,Afternoon,Local,44,Medium
10,Rainy,Tuesday,Evening,Express,51,High
70,Foggy,Wednesday,Night,Superfast,58,Low
60,Clear,Thursday,Morning,Local,65,Medium
30,Rainy,Friday,Afternoon,Express,72,High
50,Foggy,Saturday,Evening,Superfast,79,Low
40,Clear,Sunday,Night,Local,86,Medium
20,Rainy,Monday,Morning,Express,93,High
70,Foggy,Tuesday,Afternoon,Superfast,100,Low
20,Clear,Wednesday,Morning,Local,7,Medium
50,Rainy,Thursday,Afternoon,Express,14,High
30,Foggy,Friday,Evening,Superfast,21,Low
70,Clear,Saturday,Night,Local,28,Medium
40,Rainy,Sunday,Morning,Express,35,High
60,Foggy,Monday,Afternoon,Superfast,42,Low
50,Clear,Tuesday,Evening,Local,49,Medium
30,Rainy,Wednesday,Night,Express,56,High
70,Foggy,Thursday,Morning,Superfast,63,Low
40,Clear,Friday,Afternoon,Local,70,Medium
20,Rainy,Saturday,Evening,Express,77,High
60,Foggy,Sunday,Night,Superfast,84,Low
50,Clear,Monday,Morning,Local,91,Medium
30,Rainy,Tuesday,Afternoon,Express,98,High
70,Foggy,Wednesday,Evening,Superfast,5,Low
40,Clear,Thursday,Night,Local,12,Medium
20,Rainy,Friday,Morning,Express,19,High
60,Foggy,Saturday,Afternoon,Superfast,26,Low
50,Clear,Sunday,Evening,Local,33,Medium
30,Rainy,Monday,Night,Express,40,High
70,Foggy,Tuesday,Morning,Superfast,47,Low
40,Clear,Wednesday,Afternoon,Local,54,Medium
20,Rainy,Thursday,Evening,Express,61,High
60,Foggy,Friday,Night,Superfast,68,Low
50,Clear,Saturday,Morning,Local,75,Medium
30,Rainy,Sunday,Afternoon,Express,82,High
70,Foggy,Monday,Evening,Superfast,89,Low
40,Clear,Tuesday,Night,Local,96,Medium
20,Rainy,Wednesday,Morning,Express,3,High
60,Foggy,Thursday,Afternoon,Superfast,10,Low
50,Clear,Friday,Evening,Local,17,Medium
30,Rainy,Saturday,Night,Express,24,High
70,Foggy,Sunday,Morning,Superfast,31,Low
40,Clear,Monday,Afternoon,Local,38,Medium
20,Rainy,Tuesday,Evening,Express,45,High
60,Foggy,Wednesday,Night,Superfast,52,Low
50,Clear,Thursday,Morning,Local,59,Medium
30,Rainy,Friday,Afternoon,Express,66,High
70,Foggy,Saturday,Evening,Superfast,73,Low
40,Clear,Sunday,Night,Local,80,Medium
20,Rainy,Monday,Morning,Express,87,High
60,Foggy,Tuesday,Afternoon,Superfast,94,Low
50,Clear,Wednesday,Evening,Local,1,Medium
30,Rainy,Thursday,Night,Express,8,High
70,Foggy,Friday,Morning,Superfast,15,Low
40,Clear,Saturday,Afternoon,Local,22,Medium
20,Rainy,Sunday,Evening,Express,29,High
60,Foggy,Monday,Night,Superfast,36,Low
50,Clear,Tuesday,Morning,Local,43,Medium
30,Rainy,Wednesday,Afternoon,Express,50,High
70,Foggy,Thursday,Evening,Superfast,57,Low
40,Clear,Friday,Night,Local,64,Medium
20,Rainy,Saturday,Morning,Express,71,High
60,Foggy,Sunday,Afternoon,Superfast,78,Low
50,Clear,Monday,Evening,Local,85,Medium
30,Rainy,Tuesday,Night,Express,92,High
70,Foggy,Wednesday,Morning,Superfast,99,Low
10,Clear,Monday,Morning,Local,6,Medium
40,Rainy,Tuesday,Afternoon,Express,13,High
20,Foggy,Wednesday,Evening,Superfast,20,Low
50,Clear,Thursday,Night,Local,27,Medium
30,Rainy,Friday,Morning,Express,34,High
60,Foggy,Saturday,Afternoon,Superfast,41,Low
50,Clear,Sunday,Evening,Local,48,Medium
30,Rainy,Monday,Night,Express,55,High
70,Foggy,Tuesday,Morning,Superfast,62,Low
40,Clear,Wednesday,Afternoon,Local,69,Medium
20,Rainy,Thursday,Evening,Express,76,High
60,Foggy,Friday,Night,Superfast,83,Low
50,Clear,Saturday,Morning,Local,90,Medium
30,Rainy,Sunday,Afternoon,Express,97,High
70,Foggy,Monday,Evening,Superfast,4,Low
40,Clear,Tuesday,Night,Local,11,Medium
20,Rainy,Wednesday,Morning,Express,18,High
60,Foggy,Thursday,Afternoon,Superfast,25,Low
50,Clear,Friday,Evening,Local,32,Medium
30,Rainy,Saturday,Night,Express,39,High
70,Foggy,Sunday,Morning,Superfast,46,Low
40,Clear,Monday,Afternoon,Local,53,Medium
20,Rainy,Tuesday,Evening,Express,60,High
60,Foggy,Wednesday,Night,Superfast,67,Low
50,Clear,Thursday,Morning,Local,74,Medium
30,Rainy,Friday,Afternoon,Express,81,High
70,Foggy,Saturday,Evening,Superfast,88,Low
40,Clear,Sunday,Night,Local,95,Medium
20,Rainy,Monday,Morning,Express,2,High
60,Foggy,Tuesday,Afternoon,Superfast,9,Low
50,Clear,Wednesday,Evening,Local,16,Medium
30,Rainy,Thursday,Night,Express,23,High
70,Foggy,Friday,Morning,Superfast,30,Low
40,Clear,Saturday,Afternoon,Local,37,Medium
20,Rainy,Sunday,Evening,Express,44,High
60,Foggy,Monday,Night,Superfast,51,Low
50,Clear,Tuesday,Morning,Local,58,Medium
30,Rainy,Wednesday,Afternoon,Express,65,High
70,Foggy,Thursday,Evening,Superfast,72,Low
40,Clear,Friday,Night,Local,79,Medium
20,Rainy,Saturday,Morning,Express,86,High
60,Foggy,Sunday,Afternoon,Superfast,93,Low
50,Clear,Monday,Evening,Local,100,Medium
30,Rainy,Tuesday,Night,Express,7,High
70,Foggy,Wednesday,Morning,Superfast,14,Low
40,Clear,Thursday,Afternoon,Local,21,Medium
20,Rainy,Friday,Evening,Express,28,High
60,Foggy,Saturday,Night,Superfast,35,Low
50,Clear,Sunday,Morning,Local,42,Medium
30,Rainy,Monday,Afternoon,Express,49,High
70,Foggy,Tuesday,Evening,Superfast,56,Low
40,Clear,Wednesday,Night,Local,63,Medium
20,Rainy,Thursday,Morning,Express,70,High
60,Foggy,Friday,Afternoon,Superfast,77,Low
50,Clear,Saturday,Evening,Local,84,Medium
30,Rainy,Sunday,Night,Express,91,High
70,Foggy,Monday,Morning,Superfast,98,Low
40,Clear,Tuesday,Afternoon,Local,5,Medium
20,Rainy,Wednesday,Evening,Express,12,High
60,Foggy,Thursday,Night,Superfast,19,Low
50,Clear,Friday,Morning,Local,26,Medium
30,Rainy,Saturday,Afternoon,Express,33,High
70,Foggy,Sunday,Evening,Superfast,40,Low
40,Clear,Monday,Night,Local,47,Medium
20,Rainy,Tuesday,Morning,Express,54,High
60,Foggy,Wednesday,Afternoon,Superfast,61,Low
50,Clear,Thursday,Evening,Local,68,Medium
30,Rainy,Friday,Night,Express,75,High
70,Foggy,Saturday,Morning,Superfast,82,Low
40,Clear,Sunday,Afternoon,Local,89,Medium
20,Rainy,Monday,Evening,Express,96,High
60,Foggy,Tuesday,Night,Superfast,3,Low
50,Clear,Wednesday,Morning,Local,10,Medium
30,Rainy,Thursday,Afternoon,Express,17,High
70,Foggy,Friday,Evening,Superfast,24,Low
40,Clear,Saturday,Night,Local,31,Medium
20,Rainy,Sunday,Morning,Express,38,High
60,Foggy,Monday,Afternoon,Superfast,45,Low
50,Clear,Tuesday,Evening,Local,52,Medium
30,Rainy,Wednesday,Night,Express,59,High
70,Foggy,Thursday,Morning,Superfast,66,Low
40,Clear,Friday,Afternoon,Local,73,Medium
20,Rainy,Saturday,Evening,Express,80,High
60,Foggy,Sunday,Night,Superfast,87,Low
50,Clear,Monday,Morning,Local,94,Medium
30,Rainy,Tuesday,Afternoon,Express,1,High
70,Foggy,Wednesday,Evening,Superfast,8,Low
40,Clear,Thursday,Night,Local,15,Medium
20,Rainy,Friday,Morning,Express,22,High
60,Foggy,Saturday,Afternoon,Superfast,29,Low
50,Clear,Sunday,Evening,Local,36,Medium
30,Rainy,Monday,Night,Express,43,High
70,Foggy,Tuesday,Morning,Superfast,50,Low
40,Clear,Wednesday,Afternoon,Local,57,Medium
20,Rainy,Thursday,Evening,Express,64,High
60,Foggy,Friday,Night,Superfast,71,Low
50,Clear,Saturday,Morning,Local,78,Medium
30,Rainy,Sunday,Afternoon,Express,85,High
70,Foggy,Monday,Evening,Superfast,92,Low
40,Clear,Tuesday,Night,Local,99,Medium
10,Clear,Monday,Morning,Local,6,Medium
40,Rainy,Tuesday,Afternoon,Express,13,High
20,Foggy,Wednesday,Evening,Superfast,20,Low
50,Clear,Thursday,Night,Local,27,Medium
30,Rainy,Friday,Morning,Express,34,High
60,Foggy,Saturday,Afternoon,Superfast,41,Low
50,Clear,Sunday,Evening,Local,48,Medium
30,Rainy,Monday,Night,Express,55,High
70,Foggy,Tuesday,Morning,Superfast,62,Low
40,Clear,Wednesday,Afternoon,Local,69,Medium
20,Rainy,Thursday,Evening,Express,76,High
60,Foggy,Friday,Night,Superfast,83,Low
50,Clear,Saturday,Morning,Local,90,Medium
30,Rainy,Sunday,Afternoon,Express,97,High
70,Foggy,Monday,Evening,Superfast,4,Low
40,Clear,Tuesday,Night,Local,11,Medium
20,Rainy,Wednesday,Morning,Express,18,High
60,Foggy,Thursday,Afternoon,Superfast,25,Low
50,Clear,Friday,Evening,Local,32,Medium
30,Rainy,Saturday,Night,Express,39,High
70,Foggy,Sunday,Morning,Superfast,46,Low
40,Clear,Monday,Afternoon,Local,53,Medium
20,Rainy,Tuesday,Evening,Express,60,High
60,Foggy,Wednesday,Night,Superfast,67,Low
50,Clear,Thursday,Morning,Local,74,Medium
30,Rainy,Friday,Afternoon,Express,81,High
70,Foggy,Saturday,Evening,Superfast,88,Low
40,Clear,Sunday,Night,Local,95,Medium
20,Rainy,Monday,Morning,Express,2,High
60,Foggy,Tuesday,Afternoon,Superfast,9,Low
50,Clear,Wednesday,Evening,Local,16,Medium
30,Rainy,Thursday,Night,Express,23,High
70,Foggy,Friday,Morning,Superfast,30,Low
40,Clear,Saturday,Afternoon,Local,37,Medium
20,Rainy,Sunday,Evening,Express,44,High
60,Foggy,Monday,Night,Superfast,51,Low
50,Clear,Tuesday,Morning,Local,58,Medium
30,Rainy,Wednesday,Afternoon,Express,65,High
70,Foggy,Thursday,Evening,Superfast,72,Low
40,Clear,Friday,Night,Local,79,Medium
20,Rainy,Saturday,Morning,Express,86,High
60,Foggy,Sunday,Afternoon,Superfast,93,Low
50,Clear,Monday,Evening,Local,100,Medium
30,Rainy,Tuesday,Night,Express,7,High
70,Foggy,Wednesday,Morning,Superfast,14,Low
40,Clear,Thursday,Afternoon,Local,21,Medium
20,Rainy,Friday,Evening,Express,28,High
60,Foggy,Saturday,Night,Superfast,35,Low
50,Clear,Sunday,Morning,Local,42,Medium
30,Rainy,Monday,Afternoon,Express,49,High
70,Foggy,Tuesday,Evening,Superfast,56,Low
40,Clear,Wednesday,Night,Local,63,Medium
20,Rainy,Thursday,Morning,Express,70,High
60,Foggy,Friday,Afternoon,Superfast,77,Low
50,Clear,Saturday,Evening,Local,84,Medium
30,Rainy,Sunday,Night,Express,91,High
70,Foggy,Monday,Morning,Superfast,98,Low
40,Clear,Tuesday,Afternoon,Local,5,Medium
20,Rainy,Wednesday,Evening,Express,12,High
60,Foggy,Thursday,Night,Superfast,19,Low
50,Clear,Friday,Morning,Local,26,Medium
30,Rainy,Saturday,Afternoon,Express,33,High
70,Foggy,Sunday,Evening,Superfast,40,Low
40,Clear,Monday,Night,Local,47,Medium
20,Rainy,Tuesday,Morning,Express,54,High
60,Foggy,Wednesday,Afternoon,Superfast,61,Low
50,Clear,Thursday,Evening,Local,68,Medium
30,Rainy,Friday,Night,Express,75,High
70,Foggy,Saturday,Morning,Superfast,82,Low
40,Clear,Sunday,Afternoon,Local,89,Medium
20,Rainy,Monday,Evening,Express,96,High
60,Foggy,Tuesday,Night,Superfast,3,Low
50,Clear,Wednesday,Morning,Local,10,Medium
30,Rainy,Thursday,Afternoon,Express,17,High
70,Foggy,Friday,Evening,Superfast,24,Low
40,Clear,Saturday,Night,Local,31,Medium
20,Rainy,Sunday,Morning,Express,38,High
60,Foggy,Monday,Afternoon,Superfast,45,Low
50,Clear,Tuesday,Evening,Local,52,Medium
30,Rainy,Wednesday,Night,Express,59,High
70,Foggy,Thursday,Morning,Superfast,66,Low
40,Clear,Friday,Afternoon,Local,73,Medium
20,Rainy,Saturday,Evening,Express,80,High
60,Foggy,Sunday,Night,Superfast,87,Low
50,Clear,Monday,Morning,Local,94,Medium
30,Rainy,Tuesday,Afternoon,Express,1,High
70,Foggy,Wednesday,Evening,Superfast,8,Low
40,Clear,Thursday,Night,Local,15,Medium
20,Rainy,Friday,Morning,Express,22,High
60,Foggy,Saturday,Afternoon,Superfast,29,Low
50,Clear,Sunday,Evening,Local,36,Medium
30,Rainy,Monday,Night,Express,43,High
70,Foggy,Tuesday,Morning,Superfast,50,Low
40,Clear,Wednesday,Afternoon,Local,57,Medium
20,Rainy,Thursday,Evening,Express,64,High
60,Foggy,Friday,Night,Superfast,71,Low
50,Clear,Saturday,Morning,Local,78,Medium
30,Rainy,Sunday,Afternoon,Express,85,High
70,Foggy,Monday,Evening,Superfast,92,Low
40,Clear,Tuesday,Night,Local,99,Medium
25,Foggy,Monday,Evening,Local,8,Medium
45,Clear,Tuesday,Morning,Express,15,High
35,Rainy,Wednesday,Afternoon,Superfast,22,Low
65,Foggy,Thursday,Night,Local,29,Medium
55,Clear,Friday,Morning,Express,36,High
75,Rainy,Saturday,Afternoon,Superfast,43,Low
85,Foggy,Sunday,Evening,Local,50,Medium
95,Clear,Monday,Night,Express,57,High
105,Rainy,Tuesday,Morning,Superfast,64,Low
115,Foggy,Wednesday,Afternoon,Local,71,Medium
125,Clear,Thursday,Evening,Express,78,High
135,Rainy,Friday,Night,Superfast,85,Low
145,Foggy,Saturday,Morning,Local,92,Medium
155,Clear,Sunday,Afternoon,Express,99,High
165,Rainy,Monday,Evening,Superfast,6,Low
175,Foggy,Tuesday,Night,Local,13,Medium
185,Clear,Wednesday,Morning,Express,20,High
195,Rainy,Thursday,Afternoon,Superfast,27,Low
205,Foggy,Friday,Evening,Local,34,Medium
215,Clear,Saturday,Night,Express,41,High
225,Rainy,Sunday,Morning,Superfast,48,Low
235,Foggy,Monday,Afternoon,Local,55,Medium
245,Clear,Tuesday,Evening,Express,62,High
255,Rainy,Wednesday,Night,Superfast,69,Low
265,Foggy,Thursday,Morning,Local,76,Medium
275,Clear,Friday,Afternoon,Express,83,High
285,Rainy,Saturday,Evening,Superfast,90,Low
295,Foggy,Sunday,Night,Local,97,Medium
305,Clear,Monday,Morning,Express,4,High
315,Rainy,Tuesday,Afternoon,Superfast,11,Low
325,Foggy,Wednesday,Evening,Local,18,Medium
335,Clear,Thursday,Night,Express,25,High
345,Rainy,Friday,Morning,Superfast,32,Low
355,Foggy,Saturday,Afternoon,Local,39,Medium
365,Clear,Sunday,Evening,Express,46,High
375,Rainy,Monday,Night,Superfast,53,Low
385,Foggy,Tuesday,Morning,Local,60,Medium
395,Clear,Wednesday,Afternoon,Express,67,High
405,Rainy,Thursday,Evening,Superfast,74,Low
415,Foggy,Friday,Night,Local,81,Medium
425,Clear,Saturday,Morning,Express,88,High
435,Rainy,Sunday,Afternoon,Superfast,95,Low
445,Foggy,Monday,Evening,Local,2,Medium
455,Clear,Tuesday,Night,Express,9,High
465,Rainy,Wednesday,Morning,Superfast,16,Low
475,Foggy,Thursday,Afternoon,Local,23,Medium
485,Clear,Friday,Evening,Express,30,High
495,Rainy,Saturday,Night,Superfast,37,Low
505,Foggy,Sunday,Morning,Local,44,Medium
515,Clear,Monday,Afternoon,Express,51,High
525,Rainy,Tuesday,Evening,Superfast,58,Low
535,Foggy,Wednesday,Night,Local,65,Medium
545,Clear,Thursday,Morning,Express,72,High
555,Rainy,Friday,Afternoon,Superfast,79,Low
565,Foggy,Saturday,Evening,Local,86,Medium
575,Clear,Sunday,Night,Express,93,High
45,Foggy,Monday,Morning,Local,15,Medium
70,Rainy,Tuesday,Afternoon,Express,25,High
55,Clear,Wednesday,Evening,Superfast,35,Low
80,Foggy,Thursday,Night,Local,20,Medium
60,Rainy,Friday,Morning,Express,30,High
90,Clear,Saturday,Afternoon,Superfast,40,Low
75,Foggy,Sunday,Evening,Local,10,Medium
100,Rainy,Monday,Night,Express,50,High
85,Clear,Tuesday,Morning,Superfast,60,Low
110,Foggy,Wednesday,Afternoon,Local,5,Medium
95,Rainy,Thursday,Evening,Express,45,High
120,Clear,Friday,Night,Superfast,55,Low
105,Foggy,Saturday,Morning,Local,0,Medium
130,Rainy,Sunday,Afternoon,Express,70,High
115,Clear,Monday,Evening,Superfast,80,Low
140,Foggy,Tuesday,Night,Local,25,Medium
125,Rainy,Wednesday,Morning,Express,35,High
150,Clear,Thursday,Afternoon,Superfast,45,Low
135,Foggy,Friday,Evening,Local,15,Medium
160,Rainy,Saturday,Night,Express,55,High
145,Clear,Sunday,Morning,Superfast,65,Low
170,Foggy,Monday,Afternoon,Local,10,Medium
155,Rainy,Tuesday,Evening,Express,40,High
180,Clear,Wednesday,Night,Superfast,50,Low
165,Foggy,Thursday,Morning,Local,5,Medium
190,Rainy,Friday,Afternoon,Express,30,High
175,Clear,Saturday,Evening,Superfast,40,Low
200,Foggy,Sunday,Night,Local,20,Medium
185,Rainy,Monday,Morning,Express,50,High
210,Clear,Tuesday,Afternoon,Superfast,60,Low
195,Foggy,Wednesday,Evening,Local,15,Medium
220,Rainy,Thursday,Night,Express,35,High
205,Clear,Friday,Morning,Superfast,45,Low
230,Foggy,Saturday,Afternoon,Local,25,Medium
215,Rainy,Sunday,Evening,Express,55,High
240,Clear,Monday,Night,Superfast,65,Low
225,Foggy,Tuesday,Morning,Local,20,Medium
250,Rainy,Wednesday,Afternoon,Express,40,High
235,Clear,Thursday,Evening,Superfast,50,Low
260,Foggy,Friday,Night,Local,30,Medium
245,Rainy,Saturday,Morning,Express,60,High
270,Clear,Sunday,Afternoon,Superfast,70,Low
255,Foggy,Monday,Evening,Local,25,Medium
280,Rainy,Tuesday,Night,Express,35,High
265,Clear,Wednesday,Morning,Superfast,45,Low
290,Foggy,Thursday,Afternoon,Local,15,Medium
275,Rainy,Friday,Evening,Express,50,High
300,Clear,Saturday,Night,Superfast,60,Low
285,Foggy,Sunday,Morning,Local,20,Medium
310,Rainy,Monday,Afternoon,Express,40,High
295,Clear,Tuesday,Evening,Superfast,50,Low
320,Foggy,Wednesday,Night,Local,30,Medium
305,Rainy,Thursday,Morning,Express,60,High
330,Clear,Friday,Afternoon,Superfast,70,Low
315,Foggy,Saturday,Evening,Local,25,Medium
340,Rainy,Sunday,Night,Express,35,High
325,Clear,Monday,Morning,Superfast,45,Low
350,Foggy,Tuesday,Afternoon,Local,15,Medium
335,Rainy,Wednesday,Evening,Express,50,High
360,Clear,Thursday,Night,Superfast,60,Low
345,Foggy,Friday,Morning,Local,20,Medium
370,Rainy,Saturday,Afternoon,Express,40,High
355,Clear,Sunday,Evening,Superfast,50,Low
380,Foggy,Monday,Night,Local,30,Medium
40,Clear,Monday,Morning,Local,10,Medium
65,Rainy,Tuesday,Afternoon,Express,20,High
50,Foggy,Wednesday,Evening,Superfast,30,Low
75,Clear,Thursday,Night,Local,15,Medium
55,Rainy,Friday,Morning,Express,25,High
80,Foggy,Saturday,Afternoon,Superfast,35,Low
60,Clear,Sunday,Evening,Local,5,Medium
85,Rainy,Monday,Night,Express,45,High
65,Foggy,Tuesday,Morning,Superfast,55,Low
90,Clear,Wednesday,Afternoon,Local,20,Medium
70,Rainy,Thursday,Evening,Express,30,High
95,Foggy,Friday,Night,Superfast,40,Low
75,Clear,Saturday,Morning,Local,10,Medium
100,Rainy,Sunday,Afternoon,Express,50,High
80,Foggy,Monday,Evening,Superfast,60,Low
105,Clear,Tuesday,Night,Local,25,Medium
85,Rainy,Wednesday,Morning,Express,35,High
110,Foggy,Thursday,Afternoon,Superfast,45,Low
90,Clear,Friday,Evening,Local,15,Medium
115,Rainy,Saturday,Night,Express,55,High
95,Foggy,Sunday,Morning,Superfast,65,Low
120,Clear,Monday,Afternoon,Local,30,Medium
100,Rainy,Tuesday,Evening,Express,40,High
125,Foggy,Wednesday,Night,Superfast,50,Low
105,Clear,Thursday,Morning,Local,5,Medium
130,Rainy,Friday,Afternoon,Express,45,High
110,Foggy,Saturday,Evening,Superfast,55,Low
135,Clear,Sunday,Night,Local,20,Medium
115,Rainy,Monday,Morning,Express,50,High
140,Foggy,Tuesday,Afternoon,Superfast,60,Low
120,Clear,Wednesday,Evening,Local,25,Medium
145,Rainy,Thursday,Night,Express,35,High
125,Foggy,Friday,Morning,Superfast,45,Low
150,Clear,Saturday,Afternoon,Local,10,Medium
130,Rainy,Sunday,Evening,Express,55,High
155,Foggy,Monday,Night,Superfast,65,Low
135,Clear,Tuesday,Morning,Local,30,Medium
160,Rainy,Wednesday,Afternoon,Express,40,High
140,Foggy,Thursday,Evening,Superfast,50,Low
165,Clear,Friday,Night,Local,15,Medium
145,Rainy,Saturday,Morning,Express,55,High
170,Foggy,Sunday,Afternoon,Superfast,65,Low
150,Clear,Monday,Evening,Local,20,Medium
175,Rainy,Tuesday,Night,Express,35,High
155,Foggy,Wednesday,Morning,Superfast,45,Low
180,Clear,Thursday,Afternoon,Local,5,Medium
